feature,feature_english,coef_pooled,se_pooled,z,p_value,odds_ratio,or_ci_low_95,or_ci_high_95
LEB_w1,Lower-than-expected BMI,-1.230504438084531,0.49332732629839515,-2.4942961244766826,0.012620720517634965,0.2921451713546596,0.11108873333228217,0.7682939447203261
FEAR_w1,Fear of weight gain,0.3503196391322755,0.1527013374463916,2.2941491213543634,0.02178193463224476,1.4195212106133346,1.0523492203502738,1.9148020717974612
WSO_w1,Weight/shape overvaluation,0.30784500972463824,0.194774349154217,1.580521311257957,0.11398753035163,1.3604901098587152,0.9287527568429391,1.992923655284922
w1dep,Negative affect,0.25307121294375595,0.16323806710361113,1.5503198330762245,0.12106476933450905,1.2879749940596759,0.9353117352474691,1.7736114311493247
w1dres,Dieting,0.22918770711402225,0.1729743732911717,1.3249807052529414,0.18517755095408295,1.2575780732072765,0.8959756304490064,1.765117885426389
FAT_w1,Feeling fat,0.1366426192314705,0.19997117794657726,0.6833115683699922,0.4944099857430826,1.146418367423612,0.7746833687643379,1.6965319331207018
w1bs,Body dissatisfaction,0.10118813832106548,0.1771149725444026,0.5713132936612555,0.5677872920373308,1.106484794373566,0.7819556857620575,1.565700745543859
w1tii,Thin-ideal internalization,0.07712211115041782,0.16061810942904742,0.48015825503466214,0.6311148676815734,1.0801739696257016,0.7884475580164623,1.4798394551341671
w1intbmi,BMI,0.05956192778184314,0.14062339598252763,0.4235563176787714,0.671889418241912,1.0613714873262936,0.8056870169380403,1.3981973277792816
w1socf,Psychosocial functioning,-0.021366574982127524,0.15759601534729176,-0.13557814222042577,0.8921547858607668,0.978860073179345,0.7187406001107927,1.333119407359168
