feature,feature_english,coef_pooled,se_pooled,z,p_value,odds_ratio,or_ci_low_95,or_ci_high_95,selected_for_multivariate
FEAR_w1,Fear of weight gain,0.6782607603833856,0.12742715650545086,5.3227332303720685,1.0221959745315701e-07,1.9704476695952593,1.5349587897842822,2.529490722782886,True
w1dep,Negative affect,0.5904419209879087,0.11172745929339936,5.284662559428583,1.2593667619853477e-07,1.8047858119207179,1.4498441976645975,2.2466219695585847,True
FAT_w1,Feeling fat,0.7351929256586232,0.14523064459412033,5.062243768959953,4.1435074749074374e-07,2.0858843743056172,1.5691606557861144,2.7727649217617087,True
WSO_w1,Weight/shape overvaluation,0.7876590193306326,0.15907720935474612,4.951425930374058,7.367166019456306e-07,2.1982443506227134,1.6094100592086271,3.002515236807196,True
w1bs,Body dissatisfaction,0.7279195622812703,0.1529710006480942,4.758546124411059,1.949923385202723e-06,2.070768019299759,1.5343339851857993,2.7947501855245576,True
w1dres,Dieting,0.6383999370889237,0.14426745517986342,4.425114009899236,9.63913625096069e-06,1.8934488169805357,1.4270876011410283,2.512213279450038,True
w1socf,Psychosocial functioning,0.38604534840716964,0.12510868853663767,3.085679763113475,0.0020308742051726725,1.4711513836740258,1.151231591991207,1.8799748102313467,True
w1intbmi,BMI,0.29979316546774437,0.10632921192863189,2.8194807431561273,0.004810141705950954,1.3495796390327697,1.0956939535698087,1.662293741931997,True
LEB_w1,Lower-than-expected BMI,-1.2366301273751892,0.44504346243045095,-2.7786727179897475,0.005458148755263625,0.29036105086999947,0.12136954293661112,0.6946515396071287,True
w1tii,Thin-ideal internalization,0.3839203178956308,0.14458126861429985,2.655394585863103,0.007921568760094644,1.4680284614243546,1.1057690120367376,1.9489672256074737,True
CB_w1,Compensatory behaviors,0.14891933567513496,0.10590673792880656,1.4061365554969945,0.15968357923303733,1.1605793680820151,0.9430293519762003,1.4283165914136289,False
BE_w1,Binge eating,0.10880536512831722,0.09679039832203158,1.1241338708650688,0.2609562381713715,1.1149453219818122,0.922282396373253,1.347855142738771,False
